city,country,lat,lng
Tokyo,Japan,35.687,139.7495
Jakarta,Indonesia,-6.175,106.8275
Delhi,India,28.61,77.23
Guangzhou,China,23.13,113.26
Mumbai,India,19.0761,72.8775
Manila,Philippines,14.5958,120.9772
Shanghai,China,31.2286,121.4747
São Paulo,Brazil,-23.5504,-46.6339
Seoul,"Korea, South",37.5667,126.9833
Mexico City,Mexico,19.4333,-99.1333
Kolkāta,India,22.5675,88.37
Cairo,Egypt,30.0444,31.2358
Karachi,Pakistan,24.86,67.01
Dhaka,Bangladesh,23.7289,90.3944
New York,United States,40.6943,-73.9249
Beijing,China,39.9067,116.3975
Bangkok,Thailand,13.7525,100.4942
Shenzhen,China,22.5415,114.0596
Moscow,Russia,55.7506,37.6175
Buenos Aires,Argentina,-34.6036,-58.3814
Lagos,Nigeria,6.455,3.3841
Bangalore,India,12.9789,77.5917
Ho Chi Minh City,Vietnam,10.7756,106.7019
Ōsaka,Japan,34.6939,135.5022
Chengdu,China,30.66,104.0633
Istanbul,Turkey,41.0136,28.955
Tehran,Iran,35.6889,51.3897
Kinshasa,Congo (Kinshasa),-4.3219,15.3119
Rio de Janeiro,Brazil,-22.9111,-43.2056
Chennai,India,13.0825,80.275
Xi’an,China,34.2611,108.9422
Lahore,Pakistan,31.5497,74.3436
Chongqing,China,29.5637,106.5504
Los Angeles,United States,34.1141,-118.4068
London,United Kingdom,51.5072,-0.1275
Paris,France,48.8567,2.3522
Linyi,China,35.1038,118.3564
Dongguan,China,23.021,113.752
Baoding,China,38.874,115.464
Hyderābād,India,17.3617,78.4747
Tianjin,China,39.1336,117.2054
Lima,Peru,-12.06,-77.0375
Wuhan,China,30.5934,114.3046
Nanyang,China,32.9902,112.5285
Hangzhou,China,30.267,120.153
Nagoya,Japan,35.1833,136.9
Luanda,Angola,-8.8383,13.2344
Foshan,China,23.0214,113.1216
Kuala Lumpur,Malaysia,3.1686,101.698
Zhoukou,China,33.6367,114.7014
Tongshan,China,34.261,117.1859
Hanoi,Vietnam,21.0,105.85
Chicago,United States,41.8375,-87.6866
Nanjing,China,32.0608,118.7789
Heze,China,35.2343,115.4796
Pune,India,18.5203,73.8567
Jining,China,35.4151,116.5871
Bogotá,Colombia,4.7111,-74.0722
Ahmedabad,India,23.0225,72.5714
Shenyang,China,41.8025,123.4281
Dar es Salaam,Tanzania,-6.8161,39.2803
Khartoum,Sudan,15.6031,32.5265
Johannesburg,South Africa,-26.2044,28.0456
Fuyang,China,32.89,115.814
Hong Kong,Hong Kong,22.3,114.2
Ganzhou,China,25.831,114.933
Shangqiu,China,34.415,115.656
Cangzhou,China,38.3047,116.8387
Riyadh,Saudi Arabia,24.65,46.71
Santiago,Chile,-33.4372,-70.6506
Zhumadian,China,33.014,114.022
Zhanjiang,China,21.2701,110.3575
Rangoon,Burma,16.795,96.16
Yancheng,China,33.35,120.1569
Bijie,China,27.284,105.292
Xingtai,China,37.0717,114.5048
Hengyang,China,26.894,112.572
Shaoyang,China,27.2395,111.4679
Surabaya,Indonesia,-7.2458,112.7378
Sūrat,India,21.205,72.84
Quanzhou,China,24.8744,118.6757
Shangrao,China,28.4551,117.9431
Zunyi,China,27.722,107.031
Madrid,Spain,40.4169,-3.7033
Baghdad,Iraq,33.3153,44.3661
Maoming,China,21.6627,110.9255
Miami,United States,25.784,-80.2101
Xinyang,China,32.149,114.091
Houston,United States,29.786,-95.3885
Singapore,Singapore,1.3,103.8
Prayagraj,India,25.4358,81.8464
Huanggang,China,30.4537,114.8724
Dalian,China,38.9,121.6
Ankara,Turkey,39.93,32.85
Dallas,United States,32.7935,-96.7667
Qingdao,China,36.0669,120.3827
Yulin,China,22.654,110.181
Liaocheng,China,36.4559,115.9852
Douala,Cameroon,4.05,9.7
Qujing,China,25.491,103.796
Nangandao,China,35.3036,113.9268
Addis Ababa,Ethiopia,9.03,38.74
Philadelphia,United States,40.0077,-75.1339
Toronto,Canada,43.7417,-79.3733
Zhengzhou,China,34.764,113.684
Nanchong,China,30.8372,106.1106
Jinan,China,36.6702,117.0207
Giza,Egypt,29.987,31.2118
Saint Petersburg,Russia,59.9375,30.3086
Jieyang,China,23.551,116.3727
Dezhou,China,37.436,116.359
Nairobi,Kenya,-1.2864,36.8172
Guadalajara,Mexico,20.6767,-103.3475
Tai’an,China,36.202,117.087
Dazhou,China,31.2093,107.4678
Belo Horizonte,Brazil,-19.9281,-43.9419
Suzhou,China,33.648,116.964
Monterrey,Mexico,25.6844,-100.3181
Yongzhou,China,26.42,111.613
Changde,China,29.031,111.699
Xiangyang,China,32.01,112.122
Atlanta,United States,33.7628,-84.422
Pudong,China,31.2347,121.5064
Washington,United States,38.9047,-77.0163
Zhaotong,China,27.338,103.717
Zhangzhou,China,24.513,117.647
Yueyang,China,29.3647,113.1309
Melbourne,Australia,-37.8142,144.9631
Yichun,China,27.816,114.417
Abidjan,Côte d’Ivoire,5.3364,-4.0267
Guilin,China,25.275,110.296
Pingdingshan,China,33.7666,113.1926
Alexandria,Egypt,31.1975,29.8925
Bozhou,China,33.8463,115.7786
Sydney,Australia,-33.8667,151.2
Barcelona,Spain,41.3833,2.1833
Yuncheng,China,35.0267,111.007
Cape Town,South Africa,-33.9253,18.4239
Changsha,China,28.228,112.939
Suqian,China,33.963,118.275
Jeddah,Saudi Arabia,21.5428,39.1728
Weinan,China,34.5206,109.471
Berlin,Germany,52.52,13.405
Chenzhou,China,25.77,113.016
Jiangmen,China,22.5789,113.0815
Mianyang,China,31.468,104.679
